Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,AMOUNT,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,FRAUDFLAG
291443,0,66,0,0,99,0,1,1,7014.93,-1108.79,5100,-8123.72,-44.35,-44.35,0,0,-7014.93,-7014.93,0,0,0,0,0,0,0,0,0,0,0,0,33555,380,0,59395394,13766,,958,434,13136,2201,139110,829253,5.43E+15,100,0,-10.32,0,840,840,10.32,5912,162722163,79996,730332,66,141,159,156,604,1,2048,1,1.15E+18,0,-1
1.83E+11,0,362,0,0,9,0,1,,1075482.03,-123887.25,1125000,-130369.28,-4965.49,0,0,534500,-540982.03,-540982.03,0,0,0,0,0,0,0,0,0,0,0,0,515868,656,22,59429109,13766,13388,13376,13372,13380,4,1262828,815255,5.25E+15,100,2764,-2764.25,0,388,388,2764.25,5411,163199599,1022831,786732,362,141,159,156,593,1,2048,1,1.15E+18,0,-1
368495,0,138,0,0,99,0,1,1,407322.39,-285218.67,609000,-692541.06,-11408.75,-11408.75,0,0,-407322.39,-407322.39,0,0,0,0,0,0,0,0,0,0,0,0,2643,2008,10,59618658,13766,10682,706,624,254,201,6044,3402,7.78E+15,100,37,-3566.17,0,388,388,3566.17,5411,163198565,4165,3403,138,141,159,156,593,1,2048,1,1.15E+18,0,-1
1.91E+11,0,138,0,0,99,0,1,,2600,-101836.08,50000,-104436.08,-101836.08,-101836.08,-90162.29,0,-2600,-2600,0,0,0,0,0,0,0,0,0,-2231.76,0,0,515608,114,0,58424435,13766,10682,838,406,244,1001013,1262171,786237,7.78E+15,100,12,-1100,0,388,388,1100,5499,163198570,1022216,786237,138,141,159,156,593,1,2048,1,1.15E+18,0,-1
157098,0,138,0,0,99,0,1,1,460197.07,-169177.51,700000,-149673.98,-6767.1,0,0,239850.3,-220346.77,-220346.77,0,0,0,0,0,0,0,0,0,0,0,0,404696,1729,22,59374594,13766,10682,838,406,244,204,1006643,600650,7.78E+15,100,11,-1000,0,388,388,1000,5541,163198571,795091,726067,138,141,159,156,593,1,2048,1,1.15E+18,0,-1
